,0
0,1.0
1,1.0
2,1.0
3,1.0
4,0.0
5,0.0
6,0.0
7,1.0
8,0.0
9,0.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,1.0
20,1.0
21,0.0
22,0.0
23,1.0
24,0.0
25,0.0
26,1.0
27,0.0
28,0.0
29,1.0
30,1.0
31,0.0
32,1.0
33,0.0
34,0.0
35,1.0
36,0.0
37,0.0
38,0.0
39,1.0
40,1.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,1.0
52,0.0
53,1.0
54,1.0
55,1.0
56,1.0
57,0.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,0.0
68,1.0
69,1.0
70,0.0
71,1.0
72,1.0
73,0.0
74,0.0
75,1.0
76,0.0
77,1.0
78,0.0
79,0.0
80,0.0
81,0.0
82,1.0
83,0.0
84,0.0
85,0.0
86,1.0
87,1.0
88,0.0
89,0.0
90,1.0
91,1.0
92,1.0
93,1.0
94,0.0
95,1.0
96,1.0
97,0.0
98,0.0
99,1.0
